Hue_Min,Hue_Max,Chroma_Min,Chroma_Max,Lightness_Min,Lightness_Max,Grade,Refer,Version,Type,H_Description
-180,180,0,0.7,0.955,1,D,FALSE,6,Round,
-180,180,0,0.7,0.945,0.955,D,TRUE,6,Round,
-180,180,0.7,1.2,0.95,1,E,FALSE,6,Round,
-180,180,0.7,1.2,0.93,0.95,E,TRUE,6,Round,
-180,180,0,0.7,0.93,0.945,E,TRUE,6,Round,
-180,180,1.2,1.5,0.95,0.995,F,FALSE,6,Round,
-180,180,1.2,1.5,0.93,0.95,F,TRUE,6,Round,
-180,180,0,1.5,0.92,0.93,F,TRUE,6,Round,
-180,180,1.5,1.7,0.95,0.995,F,FALSE,6,Round,
70,107,1.5,1.7,0.92,0.95,F,TRUE,6,Round,
70,107,1.7,2.2,0.94,0.995,G,FALSE,6,Round,
70,107,1.7,2.2,0.91,0.94,G,TRUE,6,Round,
70,107,0,1.7,0.91,0.92,G,TRUE,6,Round,
70,107,2.2,2.7,0.93,0.99,H,FALSE,6,Round,
70,107,2.2,2.7,0.9,0.93,H,TRUE,6,Round,
70,107,0,2.2,0.9,0.91,H,TRUE,6,Round,
70,105,2.7,3.3,0.93,0.99,I,FALSE,6,Round,
70,105,2.7,3.3,0.9,0.93,I,TRUE,6,Round,
70,105,0,3,0.89,0.9,I,TRUE,6,Round,
68,103,3.3,3.9,0.93,0.99,J,FALSE,6,Round,
68,103,3.3,3.9,0.9,0.93,J,TRUE,6,Round,
68,103,3,3.9,0.89,0.9,J,TRUE,6,Round,
68,103,3.9,4.1,0.935,0.99,J,FALSE,6,Round,
88,103,3.9,4.3,0.89,0.9,K,TRUE,6,Round,
88,103,3.3,4.3,0.88,0.89,K,TRUE,6,Round,
88,103,3.9,4.3,0.9,0.935,K,FALSE,6,Round, 
88,103,4.1,5,0.935,0.98,K,FALSE,6,Round,
88,103,4.3,4.6,0.915,0.935,K,FALSE,6,Round,
68,88,3.9,4.3,0.89,0.9,K,TRUE,6,Round,Faint Brown
68,88,3.3,4.3,0.88,0.89,K,TRUE,6,Round,Faint Brown
68,88,3.9,4.3,0.9,0.935,K,FALSE,6,Round,Faint Brown
68,88,4.1,5,0.935,0.975,K,FALSE,6,Round,Faint Brown
68,88,4.3,4.6,0.915,0.935,K,FALSE,6,Round,Faint Brown
88,101,5,5.9,0.935,0.98,L,FALSE,6,Round,
88,101,5.5,5.9,0.925,0.935,L,FALSE,6,Round,
88,101,4.6,5.5,0.915,0.935,L,FALSE,6,Round,
88,101,4.3,5,0.89,0.915,L,FALSE,6,Round,
88,101,4.3,5,0.88,0.89,L,FALSE,6,Round,
88,101,3.9,5,0.87,0.88,L,FALSE,6,Round,
68,88,5,5.9,0.935,0.98,L,FALSE,6,Round,Faint Brown
68,88,5.5,5.9,0.925,0.935,L,FALSE,6,Round,Faint Brown
68,88,4.6,5.5,0.915,0.935,L,FALSE,6,Round,Faint Brown
68,88,4.3,5,0.89,0.915,L,FALSE,6,Round,Faint Brown
68,88,4.3,5,0.88,0.89,L,FALSE,6,Round,Faint Brown
68,88,3.9,5,0.87,0.88,L,FALSE,6,Round,Faint Brown
88,101,5.9,6.9,0.925,0.97,M,FALSE,6,Round,
88,101,5.5,6.5,0.915,0.925,M,FALSE,6,Round,
88,101,5,6.5,0.905,0.915,M,FALSE,6,Round,
88,101,5,5.8,0.88,0.905,M,FALSE,6,Round,
88,101,5,5.8,0.87,0.88,M,FALSE,6,Round,
88,101,4.3,5.8,0.86,0.87,M,FALSE,6,Round,
65,88,5.9,6.9,0.925,0.97,M,FALSE,6,Round,Faint Brown
65,88,5.5,6.5,0.915,0.925,M,FALSE,6,Round,Faint Brown
65,88,5,6.5,0.905,0.915,M,FALSE,6,Round,Faint Brown
65,88,5,5.8,0.88,0.905,M,FALSE,6,Round,Faint Brown
65,88,5,5.8,0.87,0.88,M,FALSE,6,Round,Faint Brown
65,88,4.3,5.8,0.86,0.87,M,FALSE,6,Round,Faint Brown
88,99,6.9,7.9,0.925,0.97,N,FALSE,6,Round,
88,99,6.5,7.9,0.915,0.925,N,FALSE,6,Round,
88,99,6.5,7.3,0.905,0.915,N,FALSE,6,Round,
88,99,5.8,7.3,0.895,0.905,N,FALSE,6,Round,
88,99,5.8,6.6,0.87,0.895,N,FALSE,6,Round,
88,99,5.8,6.6,0.86,0.87,N,FALSE,6,Round,
88,99,5,6.6,0.85,0.86,N,FALSE,6,Round,
65,88,6.9,7.9,0.925,0.97,N,FALSE,6,Round,Very Light Brown
65,88,6.5,7.9,0.915,0.925,N,FALSE,6,Round,Very Light Brown
65,88,6.5,7.3,0.905,0.915,N,FALSE,6,Round,Very Light Brown
65,88,5.8,7.3,0.895,0.905,N,FALSE,6,Round,Very Light Brown
65,88,5.8,6.6,0.87,0.895,N,FALSE,6,Round,Very Light Brown
65,88,5.8,6.6,0.86,0.87,N,FALSE,6,Round,Very Light Brown
65,88,5,6.6,0.85,0.86,N,FALSE,6,Round,Very Light Brown
88,99,7.9,9,0.915,0.97,O/P,FALSE,6,Round,
88,99,7.3,9,0.905,0.915,O/P,FALSE,6,Round,
